system:time_start,Evap_tavg
"Jan 1, 2000",1.503
"Feb 1, 2000",0.786
"Mar 1, 2000",0.776
"Apr 1, 2000",1.521
"May 1, 2000",1.559
"Jun 1, 2000",1.041
"Jul 1, 2000",0.711
"Aug 1, 2000",0.715
"Sep 1, 2000",0.723
"Oct 1, 2000",0.824
"Nov 1, 2000",1.249
"Dec 1, 2000",1.781
"Jan 1, 2001",1.463
"Feb 1, 2001",1.158
"Mar 1, 2001",1.211
"Apr 1, 2001",2.398
"May 1, 2001",2.066
"Jun 1, 2001",1.482
"Jul 1, 2001",0.952
"Aug 1, 2001",0.934
"Sep 1, 2001",0.78
"Oct 1, 2001",0.674
"Nov 1, 2001",1.881
"Dec 1, 2001",1.728
"Jan 1, 2002",1.371
"Feb 1, 2002",0.9
"Mar 1, 2002",1.53
"Apr 1, 2002",2.221
"May 1, 2002",2.457
"Jun 1, 2002",1.404
"Jul 1, 2002",0.878
"Aug 1, 2002",0.803
"Sep 1, 2002",0.835
"Oct 1, 2002",1.232
"Nov 1, 2002",1.761
"Dec 1, 2002",2.237
"Jan 1, 2003",1.889
"Feb 1, 2003",1.099
"Mar 1, 2003",1.017
"Apr 1, 2003",2.267
"May 1, 2003",2.598
"Jun 1, 2003",1.773
"Jul 1, 2003",1.048
"Aug 1, 2003",0.905
"Sep 1, 2003",0.862
"Oct 1, 2003",0.963
"Nov 1, 2003",1.632
"Dec 1, 2003",2.097
"Jan 1, 2004",1.533
"Feb 1, 2004",1.229
"Mar 1, 2004",1.076
"Apr 1, 2004",2.687
"May 1, 2004",1.933
"Jun 1, 2004",1.191
"Jul 1, 2004",0.704
"Aug 1, 2004",0.669
"Sep 1, 2004",0.54
"Oct 1, 2004",1.074
"Nov 1, 2004",1.718
"Dec 1, 2004",2.034
"Jan 1, 2005",1.219
"Feb 1, 2005",0.932
"Mar 1, 2005",1.11
"Apr 1, 2005",1.718
"May 1, 2005",2.326
"Jun 1, 2005",1.348
"Jul 1, 2005",1.073
"Aug 1, 2005",0.748
