system:time_start,ET
"Jan 1, 2000",1.294
"Feb 1, 2000",0.744
"Mar 1, 2000",0.822
"Apr 1, 2000",1.337
"May 1, 2000",1.433
"Jun 1, 2000",1.217
"Jul 1, 2000",0.963
"Aug 1, 2000",0.941
"Sep 1, 2000",0.847
"Oct 1, 2000",1.15
"Nov 1, 2000",1.672
"Dec 1, 2000",1.731
"Jan 1, 2001",1.595
"Feb 1, 2001",1.231
"Mar 1, 2001",1.418
"Apr 1, 2001",2.196
"May 1, 2001",2.053
"Jun 1, 2001",1.68
"Jul 1, 2001",1.251
"Aug 1, 2001",1.017
"Sep 1, 2001",0.879
"Oct 1, 2001",1.049
"Nov 1, 2001",2.139
"Dec 1, 2001",1.924
"Jan 1, 2002",1.613
"Feb 1, 2002",1.059
"Mar 1, 2002",1.507
"Apr 1, 2002",2.027
"May 1, 2002",2.239
"Jun 1, 2002",1.567
"Jul 1, 2002",1.114
"Aug 1, 2002",0.977
"Sep 1, 2002",0.959
"Oct 1, 2002",1.355
"Nov 1, 2002",2.149
"Dec 1, 2002",2.259
"Jan 1, 2003",1.889
"Feb 1, 2003",1.046
"Mar 1, 2003",1.179
"Apr 1, 2003",1.658
"May 1, 2003",2.361
"Jun 1, 2003",1.946
"Jul 1, 2003",1.416
"Aug 1, 2003",1.29
"Sep 1, 2003",1.103
"Oct 1, 2003",1.247
"Nov 1, 2003",2.269
"Dec 1, 2003",1.937
"Jan 1, 2004",1.88
"Feb 1, 2004",1.648
"Mar 1, 2004",1.367
"Apr 1, 2004",2.19
"May 1, 2004",1.745
"Jun 1, 2004",1.41
"Jul 1, 2004",1.048
"Aug 1, 2004",0.944
"Sep 1, 2004",0.894
"Oct 1, 2004",1.595
"Nov 1, 2004",2.185
"Dec 1, 2004",2.195
"Jan 1, 2005",1.456
"Feb 1, 2005",0.87
"Mar 1, 2005",1.114
"Apr 1, 2005",1.913
"May 1, 2005",2.17
"Jun 1, 2005",1.937
"Jul 1, 2005",1.532
"Aug 1, 2005",1.215
"Sep 1, 2005",1.106
"Oct 1, 2005",1.129
"Nov 1, 2005",2.054
"Dec 1, 2005",1.461
"Jan 1, 2006",1.015
"Feb 1, 2006",0.786
"Mar 1, 2006",1.323
"Apr 1, 2006",2.023
"May 1, 2006",2.162
"Jun 1, 2006",1.785
"Jul 1, 2006",1.517
"Aug 1, 2006",1.488
"Sep 1, 2006",1.265
"Oct 1, 2006",1.658
"Nov 1, 2006",2.552
"Dec 1, 2006",2.564
"Jan 1, 2007",2.415
"Feb 1, 2007",1.688
"Mar 1, 2007",1.488
"Apr 1, 2007",1.897
"May 1, 2007",2.094
"Jun 1, 2007",1.849
"Jul 1, 2007",1.694
"Aug 1, 2007",1.638
"Sep 1, 2007",1.527
"Oct 1, 2007",1.607
"Nov 1, 2007",2.125
"Dec 1, 2007",1.835
"Jan 1, 2008",1.593
"Feb 1, 2008",1.076
"Mar 1, 2008",1.321
"Apr 1, 2008",1.882
"May 1, 2008",1.765
"Jun 1, 2008",1.453
"Jul 1, 2008",1.322
"Aug 1, 2008",1.223
"Sep 1, 2008",1.069
"Oct 1, 2008",1.473
"Nov 1, 2008",2.062
"Dec 1, 2008",1.421
"Jan 1, 2009",1.061
"Feb 1, 2009",0.887
"Mar 1, 2009",0.803
"Apr 1, 2009",1.423
"May 1, 2009",1.449
"Jun 1, 2009",1.326
"Jul 1, 2009",0.94
"Aug 1, 2009",0.815
"Sep 1, 2009",0.717
"Oct 1, 2009",1.436
"Nov 1, 2009",1.723
"Dec 1, 2009",1.736
"Jan 1, 2010",1.588
"Feb 1, 2010",1.214
"Mar 1, 2010",1.818
"Apr 1, 2010",2.28
"May 1, 2010",2.149
"Jun 1, 2010",1.557
"Jul 1, 2010",1.196
"Aug 1, 2010",1.059
"Sep 1, 2010",0.887
"Oct 1, 2010",0.897
"Nov 1, 2010",1.383
"Dec 1, 2010",1.067
"Jan 1, 2011",0.783
"Feb 1, 2011",0.652
"Mar 1, 2011",0.893
"Apr 1, 2011",1.199
"May 1, 2011",1.463
"Jun 1, 2011",1.215
"Jul 1, 2011",1.081
"Aug 1, 2011",1.092
"Sep 1, 2011",1.115
"Oct 1, 2011",1.66
"Nov 1, 2011",2.355
"Dec 1, 2011",2.173
"Jan 1, 2012",1.275
"Feb 1, 2012",0.891
"Mar 1, 2012",0.755
"Apr 1, 2012",1.45
"May 1, 2012",1.855
"Jun 1, 2012",1.396
"Jul 1, 2012",1.26
"Aug 1, 2012",1.141
"Sep 1, 2012",1.046
"Oct 1, 2012",1.399
"Nov 1, 2012",1.712
"Dec 1, 2012",1.858
"Jan 1, 2013",1.378
"Feb 1, 2013",0.82
"Mar 1, 2013",1.358
"Apr 1, 2013",2.151
"May 1, 2013",1.985
"Jun 1, 2013",1.426
"Jul 1, 2013",1.158
"Aug 1, 2013",1.018
"Sep 1, 2013",0.951
"Oct 1, 2013",1.046
"Nov 1, 2013",1.702
"Dec 1, 2013",1.713
"Jan 1, 2014",1.053
"Feb 1, 2014",0.964
"Mar 1, 2014",1.164
"Apr 1, 2014",1.369
"May 1, 2014",1.379
"Jun 1, 2014",1.108
"Jul 1, 2014",0.934
"Aug 1, 2014",0.94
"Sep 1, 2014",0.903
"Oct 1, 2014",1.263
"Nov 1, 2014",1.716
"Dec 1, 2014",1.453
