system:time_start,ET
"Jan 1, 2001",1.05
"Feb 1, 2001",0.914
"Mar 1, 2001",0.8
"Apr 1, 2001",1.557
"May 1, 2001",1.429
"Jun 1, 2001",1.022
"Jul 1, 2001",0.94
"Aug 1, 2001",0.947
"Sep 1, 2001",0.837
"Oct 1, 2001",0.782
"Nov 1, 2001",1.401
"Dec 1, 2001",1.289
"Jan 1, 2002",1.023
"Feb 1, 2002",0.806
"Mar 1, 2002",0.917
"Apr 1, 2002",1.304
"May 1, 2002",1.777
"Jun 1, 2002",1.289
"Jul 1, 2002",1.008
"Aug 1, 2002",0.876
"Sep 1, 2002",0.841
"Oct 1, 2002",0.949
"Nov 1, 2002",1.574
"Dec 1, 2002",1.573
"Jan 1, 2003",1.37
"Feb 1, 2003",0.78
"Mar 1, 2003",0.752
"Apr 1, 2003",1.11
"May 1, 2003",1.96
"Jun 1, 2003",1.548
"Jul 1, 2003",1.168
"Aug 1, 2003",1.09
"Sep 1, 2003",0.961
"Oct 1, 2003",0.919
"Nov 1, 2003",1.637
"Dec 1, 2003",1.408
"Jan 1, 2004",1.107
"Feb 1, 2004",0.88
"Mar 1, 2004",0.866
"Apr 1, 2004",1.656
"May 1, 2004",1.431
"Jun 1, 2004",1.142
"Jul 1, 2004",0.968
"Aug 1, 2004",0.894
"Sep 1, 2004",0.814
"Oct 1, 2004",1.11
"Nov 1, 2004",1.728
"Dec 1, 2004",1.562
"Jan 1, 2005",1.108
"Feb 1, 2005",0.799
"Mar 1, 2005",0.825
"Apr 1, 2005",1.403
"May 1, 2005",1.71
"Jun 1, 2005",1.429
"Jul 1, 2005",1.152
"Aug 1, 2005",1
"Sep 1, 2005",0.93
"Oct 1, 2005",0.86
"Nov 1, 2005",1.235
"Dec 1, 2005",0.921
"Jan 1, 2006",0.745
"Feb 1, 2006",0.604
"Mar 1, 2006",0.896
"Apr 1, 2006",1.706
"May 1, 2006",1.769
"Jun 1, 2006",1.273
"Jul 1, 2006",1.05
"Aug 1, 2006",1.06
"Sep 1, 2006",0.897
"Oct 1, 2006",1.027
"Nov 1, 2006",1.938
"Dec 1, 2006",2.078
"Jan 1, 2007",1.916
"Feb 1, 2007",1.182
"Mar 1, 2007",0.989
"Apr 1, 2007",1.328
"May 1, 2007",1.587
"Jun 1, 2007",1.349
"Jul 1, 2007",1.227
"Aug 1, 2007",1.192
"Sep 1, 2007",1.117
"Oct 1, 2007",1.162
"Nov 1, 2007",1.468
"Dec 1, 2007",1.162
"Jan 1, 2008",1.149
"Feb 1, 2008",0.79
"Mar 1, 2008",0.884
"Apr 1, 2008",1.575
"May 1, 2008",1.479
"Jun 1, 2008",1.134
"Jul 1, 2008",1
"Aug 1, 2008",0.997
"Sep 1, 2008",0.917
"Oct 1, 2008",1.147
"Nov 1, 2008",1.7
"Dec 1, 2008",1.151
"Jan 1, 2009",0.873
"Feb 1, 2009",0.732
"Mar 1, 2009",0.675
"Apr 1, 2009",1.125
"May 1, 2009",1.199
"Jun 1, 2009",1.076
"Jul 1, 2009",0.866
"Aug 1, 2009",0.785
"Sep 1, 2009",0.67
"Oct 1, 2009",1.034
"Nov 1, 2009",1.47
"Dec 1, 2009",1.327
"Jan 1, 2010",1.293
"Feb 1, 2010",0.995
"Mar 1, 2010",1.63
"Apr 1, 2010",2.129
"May 1, 2010",1.878
"Jun 1, 2010",1.346
"Jul 1, 2010",1.118
"Aug 1, 2010",1.062
"Sep 1, 2010",0.975
"Oct 1, 2010",0.896
"Nov 1, 2010",1.194
"Dec 1, 2010",0.962
"Jan 1, 2011",0.769
"Feb 1, 2011",0.617
"Mar 1, 2011",0.736
"Apr 1, 2011",1.042
"May 1, 2011",1.235
"Jun 1, 2011",1.068
"Jul 1, 2011",0.994
"Aug 1, 2011",0.994
"Sep 1, 2011",1.027
"Oct 1, 2011",1.417
"Nov 1, 2011",2.003
"Dec 1, 2011",1.945
"Jan 1, 2012",1.177
"Feb 1, 2012",0.734
"Mar 1, 2012",0.668
"Apr 1, 2012",1.325
"May 1, 2012",1.808
"Jun 1, 2012",1.327
"Jul 1, 2012",1.233
"Aug 1, 2012",1.112
"Sep 1, 2012",1.011
"Oct 1, 2012",1.161
"Nov 1, 2012",1.589
"Dec 1, 2012",1.483
"Jan 1, 2013",1.204
"Feb 1, 2013",0.829
"Mar 1, 2013",1.054
"Apr 1, 2013",2.102
"May 1, 2013",2.051
"Jun 1, 2013",1.428
"Jul 1, 2013",1.219
"Aug 1, 2013",1.122
"Sep 1, 2013",0.987
"Oct 1, 2013",0.974
"Nov 1, 2013",1.635
"Dec 1, 2013",1.421
"Jan 1, 2014",1.123
"Feb 1, 2014",0.886
"Mar 1, 2014",1.203
"Apr 1, 2014",1.67
"May 1, 2014",1.389
"Jun 1, 2014",1.121
"Jul 1, 2014",0.984
"Aug 1, 2014",0.996
"Sep 1, 2014",0.991
"Oct 1, 2014",1.162
"Nov 1, 2014",1.64
"Dec 1, 2014",1.319
"Jan 1, 2015",0.828
"Feb 1, 2015",0.636
"Mar 1, 2015",0.668
"Apr 1, 2015",1.577
"May 1, 2015",1.939
"Jun 1, 2015",1.378
"Jul 1, 2015",1.137
"Aug 1, 2015",0.984
"Sep 1, 2015",0.809
"Oct 1, 2015",0.928
"Nov 1, 2015",1.694
"Dec 1, 2015",1.659
"Jan 1, 2016",1.301
"Feb 1, 2016",0.959
"Mar 1, 2016",0.938
"Apr 1, 2016",1.439
"May 1, 2016",1.75
"Jun 1, 2016",1.348
"Jul 1, 2016",1.182
"Aug 1, 2016",1.046
"Sep 1, 2016",0.866
"Oct 1, 2016",0.824
"Nov 1, 2016",1.177
"Dec 1, 2016",1.232
"Jan 1, 2017",0.782
"Feb 1, 2017",0.668
"Mar 1, 2017",0.686
"Apr 1, 2017",1.042
"May 1, 2017",1.416
"Jun 1, 2017",1.15
"Jul 1, 2017",0.998
"Aug 1, 2017",1.009
"Sep 1, 2017",0.964
"Oct 1, 2017",1.095
"Nov 1, 2017",1.554
"Dec 1, 2017",0.991
"Jan 1, 2018",0.69
"Feb 1, 2018",0.693
"Mar 1, 2018",1.45
"Apr 1, 2018",2.272
"May 1, 2018",2.424
"Jun 1, 2018",1.822
"Jul 1, 2018",1.399
"Aug 1, 2018",1.114
"Sep 1, 2018",1.009
"Oct 1, 2018",1.077
"Nov 1, 2018",1.428
"Dec 1, 2018",1.312
"Jan 1, 2019",1.022
"Feb 1, 2019",0.721
"Mar 1, 2019",0.664
"Apr 1, 2019",0.961
"May 1, 2019",1.627
"Jun 1, 2019",1.265
"Jul 1, 2019",1.207
"Aug 1, 2019",1.061
"Sep 1, 2019",1.026
"Oct 1, 2019",1.545
"Nov 1, 2019",2.177
