system:time_start,Ec,Ei,Es
"Feb 26, 2000",0.686,0.023,0.526
"Mar 26, 2000",0.719,0.041,0.98
"Apr 26, 2000",0.693,0.04,0.965
"May 26, 2000",0.602,0.034,0.495
"Jun 26, 2000",0.548,0.027,0.531
"Jul 26, 2000",0.573,0.03,0.584
"Aug 26, 2000",0.665,0.026,0.546
"Sep 26, 2000",0.683,0.035,0.807
"Oct 26, 2000",0.77,0.05,1.14
"Nov 26, 2000",0.98,0.062,1.476
"Dec 26, 2000",0.953,0.055,0.768
"Jan 26, 2001",0.952,0.032,0.863
"Feb 26, 2001",0.882,0.037,0.578
"Mar 26, 2001",1.008,0.08,2.041
"Apr 26, 2001",0.986,0.063,1.133
"May 26, 2001",0.723,0.047,0.845
"Jun 26, 2001",0.658,0.042,0.633
"Jul 26, 2001",0.701,0.034,0.634
"Aug 26, 2001",0.692,0.034,0.516
"Sep 26, 2001",0.652,0.029,0.407
"Oct 26, 2001",0.794,0.065,1.954
"Nov 26, 2001",0.973,0.045,1.09
"Dec 26, 2001",0.907,0.035,0.624
"Jan 26, 2002",0.839,0.019,0.426
"Feb 26, 2002",0.781,0.046,1.293
"Mar 26, 2002",0.902,0.081,1.676
"Apr 26, 2002",1.129,0.06,1.61
"May 26, 2002",0.943,0.049,0.591
"Jun 26, 2002",0.738,0.026,0.448
"Jul 26, 2002",0.591,0.033,0.49
"Aug 26, 2002",0.642,0.027,0.547
"Sep 26, 2002",0.703,0.046,1.13
"Oct 26, 2002",1.063,0.066,1.503
"Nov 26, 2002",1.21,0.099,1.293
"Dec 26, 2002",1.144,0.045,0.535
"Jan 26, 2003",0.901,0.02,0.355
"Feb 26, 2003",0.727,0.02,0.42
"Mar 26, 2003",0.839,0.067,1.69
"Apr 26, 2003",1.019,0.078,1.733
"May 26, 2003",1.02,0.055,0.743
"Jun 26, 2003",0.753,0.039,0.469
"Jul 26, 2003",0.668,0.04,0.464
"Aug 26, 2003",0.773,0.024,0.6
"Sep 26, 2003",0.692,0.035,0.526
"Oct 26, 2003",0.86,0.062,1.346
"Nov 26, 2003",1.057,0.047,1.661
"Dec 26, 2003",0.878,0.037,0.887
"Jan 26, 2004",0.761,0.03,0.998
"Feb 26, 2004",0.79,0.033,0.587
"Mar 26, 2004",0.908,0.074,1.914
"Apr 26, 2004",0.997,0.031,1.148
"May 26, 2004",0.729,0.035,0.557
"Jun 26, 2004",0.646,0.02,0.343
"Jul 26, 2004",0.641,0.028,0.508
"Aug 26, 2004",0.663,0.027,0.284
"Sep 26, 2004",0.695,0.038,0.819
"Oct 26, 2004",0.954,0.077,1.575
"Nov 26, 2004",1.164,0.063,1.661
"Dec 26, 2004",1.002,0.025,0.305
"Jan 26, 2005",0.817,0.009,0.645
"Feb 26, 2005",0.749,0.037,0.653
"Mar 26, 2005",0.854,0.054,1.241
"Apr 26, 2005",0.918,0.074,1.654
"May 26, 2005",0.834,0.032,1.083
"Jun 26, 2005",0.679,0.037,0.769
"Jul 26, 2005",0.634,0.031,0.456
"Aug 26, 2005",0.7,0.025,0.419
"Sep 26, 2005",0.708,0.024,0.415
"Oct 26, 2005",0.729,0.033,0.818
"Nov 26, 2005",0.79,0.019,0.587
"Dec 26, 2005",0.657,0.014,0.303
"Jan 26, 2006",0.62,0.012,0.234
"Feb 26, 2006",0.692,0.043,1.028
"Mar 26, 2006",0.918,0.085,2.152
"Apr 26, 2006",0.983,0.066,1.241
"May 26, 2006",0.822,0.059,0.642
"Jun 26, 2006",0.597,0.026,0.543
"Jul 26, 2006",0.611,0.043,1.153
"Aug 26, 2006",0.67,0.029,0.648
"Sep 26, 2006",0.739,0.046,1.064
"Oct 26, 2006",1.183,0.114,1.529
"Nov 26, 2006",1.582,0.121,1.206
"Dec 26, 2006",1.484,0.087,0.588
"Jan 26, 2007",1.207,0.049,0.496
"Feb 26, 2007",0.96,0.048,0.871
